12-13  主要城市平均气温(2009年),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：摄氏度,,,,,,,,,,,,,
城  市,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年平均
,,,,,,,,,,,,,
北京 ,-3.0,1.0,7.0,15.9,22.9,26.2,27.0,25.7,21.1,15.3,2.2,-2.3,13.3
天津  ,-3.5,0.7,6.7,15.6,22.6,25.8,27.1,25.6,20.9,14.9,1.6,-2.8,12.9
石家庄 ,-0.7,3.1,9.6,16.5,22.6,28.2,28.2,25.6,21.3,17.0,2.3,-0.5,14.4
太原,-5.1,1.5,6.7,14.9,19.2,24.5,25.0,22.4,17.4,12.2,-0.9,-4.5,11.1
呼和浩特,-10.3,-2.8,1.3,12.0,17.2,22.0,23.8,21.7,16.3,8.6,-4.0,-10.1,8.0
沈阳,-11.0,-7.3,0.4,11.1,19.1,20.8,23.1,23.3,17.0,9.9,-3.4,-11.1,7.7
长春,-13.0,-9.1,-2.0,10.2,18.2,19.0,22.3,23.0,16.2,8.4,-5.5,-14.3,6.1
哈尔滨,-16.0,-11.5,-3.9,9.7,18.4,18.9,22.6,22.2,15.6,7.1,-7.0,-16.7,5.0
上海,3.8,8.9,10.6,16.3,21.9,26.2,28.8,27.9,25.0,21.3,12.1,6.4,17.4
南京,2.2,7.3,9.8,16.6,21.9,26.6,28.0,27.2,23.4,20.1,8.6,4.5,16.4
杭州,4.4,9.5,11.1,17.6,22.9,26.8,29.6,28.4,25.5,20.6,10.8,6.7,17.8
合肥,2.6,7.7,10.5,17.6,21.9,27.1,28.6,27.5,24.0,20.3,7.8,4.6,16.7
福州,10.7,15.5,14.2,18.8,23.1,26.3,29.4,29.3,28.1,23.2,17.3,12.7,20.7
南昌,5.1,10.8,12.1,18.7,23.5,27.8,29.7,29.4,26.9,22.5,11.2,7.3,18.8
济南,-0.2,5.1,9.0,16.7,21.9,28.1,26.5,25.1,21.1,18.8,4.8,0.8,14.8
郑州,1.0,5.9,10.1,17.0,22.0,28.8,27.9,26.0,21.0,18.5,5.4,2.9,15.5
武汉,4.5,9.0,12.1,18.3,22.2,28.1,30.3,29.1,24.9,21.1,8.8,5.8,17.9
长沙,5.1,10.5,12.7,18.5,22.5,28.4,29.8,29.4,25.8,21.4,10.6,7.1,18.5
广州,12.4,21.0,18.2,22.2,25.9,27.9,29.6,29.9,29.5,26.0,17.9,15.3,23.0
南宁,11.3,20.3,17.9,22.2,25.0,27.8,28.3,28.8,27.9,24.0,17.2,15.4,22.2
海口,16.1,22.5,22.7,24.1,26.2,28.3,28.3,28.1,27.9,25.8,21.5,19.8,24.3
重庆(沙坪坝),7.7,13.0,14.8,18.8,21.9,25.4,28.9,28.4,26.9,19.6,12.9,9.9,19.0
成都(温江),5.7,10.8,12.5,17.5,21.1,24.6,24.9,25.0,22.7,17.7,10.7,7.9,16.8
贵阳,3.8,10.4,11.3,14.5,18.6,21.5,22.7,23.6,21.5,15.8,9.3,5.5,14.9
昆明,8.3,13.9,15.8,17.7,19.8,20.6,21.3,20.6,20.1,18.5,11.8,10.5,16.6
拉萨,1.0,3.8,5.8,11.5,14.2,18.6,19.6,16.4,15.0,11.2,5.7,0.5,10.3
西安,0.6,6.4,11.1,17.9,20.5,27.4,28.2,24.7,20.5,16.8,4.7,1.8,15.1
兰州(皋兰),-7.7,-0.3,3.9,12.1,15.0,19.9,21.7,18.3,14.5,8.3,-2.3,-7.0,8.0
西宁,-7.8,-0.8,2.0,9.8,12.1,15.8,17.8,15.4,13.1,5.9,-2.2,-6.4,6.2
银川,-6.2,0.9,5.8,14.5,18.5,23.9,24.8,21.3,17.4,11.8,-1.4,-5.6,10.5
乌鲁木齐,-9.9,-8.8,2.5,13.0,16.1,20.8,23.7,22.9,16.8,10.9,-2.3,-10.0,8.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
注：1987年1月份开始重庆站被沙坪坝站替代；2004年1月份开始，成都站被温江站替代，兰州站业务由皋兰站替代（以下3表同）。,,,,,,,,,,,,,
